respondent_id,age_group,gender,occupation,city_tier,monthly_income,income_range,education_level,fitness_goal,fitness_level,workout_frequency,workout_consistency,daily_steps,sleep_hours,sleep_quality,stress_level,diet_quality,water_intake,health_concern_level,medical_fitness_goal,uses_fitness_app,uses_wearable,past_smartwatch_owner,digital_adoption_level,trust_in_health_data,privacy_concern_level,app_notification_preference,pref_sleep_tracking,pref_stress_monitoring,pref_hydration_reminder,pref_heart_rate,pref_diet_suggestion,pref_workout_plan,pref_personalized_report,battery_life_importance,design_importance,brand_preference,monthly_health_spend,preferred_price_range,willingness_to_pay,payment_preference,discount_sensitivity,subscription_willingness,purchase_intention,likely_to_purchase,upgrade_intention,family_influence,social_media_influence,referrals_made,health_concern_score,fitness_readiness_score,lifestyle_risk_score,digital_adoption_score,price_sensitivity_score,purchase_potential_score,engagement_score,sleep_stress_risk_category,budget_segment,customer_value_segment,feedback_text
FT100000,35-44,Male,Self-Employed,Tier 1,60000.0,50K-1L,High School,Weight Loss,Intermediate,3,Medium,2800,6.9,Poor,Medium,Good,2.5,Medium,No,Yes,No,No,High,High,Low,Minimal,Yes,No,Yes,Yes,No,No,Yes,High,High,Premium / Trusted,3680.0,6K-10K,9200,Full Payment,Medium,No,4,Yes,No,High,Medium,2,54.5,35.8,50.7,62.4,68.4,67.5,58.0,High,Mid-Range,Medium Value,The battery life is excellent and lasts almost a week on a single charge.
FT100001,25-34,Female,Self-Employed,Tier 1,59200.0,50K-1L,Diploma,General Fitness,Advanced,4,High,8400,7.6,Good,Low,Poor,1.3,Low,No,No,No,No,Medium,Medium,Medium,Moderate,No,No,No,No,Yes,No,Yes,High,Medium,No Preference,3270.0,3K-6K,3800,Full Payment,Medium,No,3,No,No,Medium,Medium,2,29.8,68.2,37.8,36.0,77.0,36.5,32.2,Low,Budget,Low Value,The battery drains too quickly and charging takes very long.
FT100002,45-54,Female,Working Professional,Tier 1,57500.0,50K-1L,High School,Weight Loss,Beginner,3,Medium,7000,5.2,Poor,High,Good,2.0,High,No,Yes,No,No,Low,Medium,Medium,Moderate,Yes,Yes,Yes,Yes,No,Yes,No,High,Low,Budget / Value,990.0,3K-6K,4000,Full Payment,Medium,No,3,No,Yes,Low,Medium,2,71.4,32.1,66.2,42.6,70.1,44.7,62.3,High,Budget,Low Value,Sleep tracking data seems wrong and the design feels cheap.
FT100003,35-44,Male,Working Professional,Tier 1,54900.0,50K-1L,Diploma,Stress Management,Beginner,3,Medium,7500,5.3,Poor,High,Average,1.8,High,No,Yes,No,No,Medium,High,High,Moderate,Yes,Yes,Yes,Yes,No,Yes,Yes,Low,Medium,Budget / Value,3410.0,6K-10K,6400,Full Payment,Medium,No,3,No,No,Low,Medium,0,74.9,34.6,68.9,45.5,69.4,49.6,67.6,High,Mid-Range,Medium Value,Comfortable to wear all day and the stress tracking is genuinely useful.
FT100004,18-24,Male,Student,Tier 2,17900.0,< 25K,Post Graduate,Weight Loss,Advanced,2,Medium,3900,5.6,Poor,High,Average,4.7,High,Yes,Yes,No,No,Medium,High,Medium,Moderate,No,Yes,No,No,Yes,No,Yes,Medium,Low,Premium / Trusted,600.0,6K-10K,6200,Full Payment,Low,No,3,No,No,High,High,0,72.0,36.8,74.1,56.7,53.3,35.6,58.7,High,Mid-Range,Low Value,"Design is decent, battery is average, app could improve a little."
FT100005,55+,Female,Self-Employed,Tier 1,55900.0,50K-1L,Graduate,General Fitness,Intermediate,5,High,10600,6.3,Poor,High,Average,1.7,High,No,No,No,No,Medium,High,Low,Moderate,No,Yes,Yes,Yes,Yes,No,No,Medium,Low,Premium / Trusted,1960.0,6K-10K,6500,Full Payment,Low,Yes,3,No,No,High,High,3,69.2,58.7,63.5,32.4,51.5,50.6,39.5,High,Mid-Range,Medium Value,"The watch is okay, does the basic job of counting steps."
FT100006,35-44,Female,Homemaker,Tier 3,13200.0,< 25K,High School,Stress Management,Beginner,1,Low,3900,6.5,Average,Medium,Average,2.1,Medium,No,Yes,No,No,Medium,Medium,Medium,Minimal,Yes,No,No,No,No,Yes,No,High,High,No Preference,640.0,3K-6K,3900,Full Payment,Low,No,3,No,No,Low,Medium,2,53.5,20.9,61.0,45.8,51.6,49.1,43.6,Moderate,Budget,Medium Value,The app keeps crashing and the notifications are unreliable.
FT100007,35-44,Male,Working Professional,Tier 1,101200.0,1L-2L,Post Graduate,Weight Loss,Beginner,2,Medium,3100,8.1,Good,Medium,Average,1.1,Medium,No,No,Yes,Yes,High,High,Medium,Moderate,No,Yes,Yes,No,Yes,No,Yes,Medium,Medium,Budget / Value,3420.0,6K-10K,7500,Full Payment,Medium,Yes,3,No,No,Low,High,0,43.4,30.0,46.2,66.4,68.3,45.5,51.4,Low,Mid-Range,Medium Value,Sleep tracking data seems wrong and the design feels cheap.
FT100008,18-24,Male,Working Professional,Tier 1,69000.0,50K-1L,Post Graduate,Better Sleep,Beginner,3,Medium,4300,6.2,Average,Medium,Average,2.3,Medium,No,No,Yes,Yes,High,High,Low,Minimal,Yes,No,No,No,No,No,Yes,Medium,Medium,Premium / Trusted,3300.0,6K-10K,9300,EMI,Medium,Yes,3,No,No,Low,Medium,0,56.2,36.1,53.1,57.4,72.7,37.2,32.7,Moderate,Mid-Range,Low Value,"Reasonable device for the price, a few features could be better."
FT100009,25-34,Male,Working Professional,Tier 1,108400.0,1L-2L,Post Graduate,General Fitness,Intermediate,5,High,8700,6.9,Poor,High,Poor,1.6,Medium,Yes,No,No,No,Low,Medium,Medium,Moderate,Yes,No,No,No,No,No,No,Low,Medium,Premium / Trusted,3580.0,6K-10K,9000,EMI,Medium,No,3,No,No,High,Low,1,77.2,59.0,71.2,20.1,68.2,47.6,22.3,High,Mid-Range,Medium Value,"Too expensive for the features offered, the price could be lower."
